sample-id	Farm_type	Sample_time
#q2:types	categorical	categorical
SRR14608439	Mixed farm 	pre.season
SRR14608440	Mixed farm 	pre.season
SRR14608441	Mixed farm 	pre.season
SRR14608442	Mixed farm 	pre.season
SRR14608443	Dairy farm 	during.season
SRR14608444	Dairy farm 	during.season
SRR14608445	Dairy farm 	during.season
SRR14608446	Dairy farm 	during.season
SRR14608447	Dairy farm 	during.season
SRR14608448	Dairy farm 	during.season
SRR14608449	Dairy farm 	during.season
SRR14608450	Dairy farm 	during.season
SRR14608451	Dairy farm 	during.season
SRR14608452	Dairy farm 	during.season
SRR14608453	Mixed farm 	pre.season
SRR14608454	Dairy farm 	pre.season
SRR14608455	Dairy farm 	pre.season
SRR14608456	Dairy farm 	pre.season
SRR14608457	Dairy farm 	pre.season
SRR14608458	Dairy farm 	pre.season
SRR14608459	Dairy farm 	pre.season
SRR14608460	Dairy farm 	pre.season
SRR14608461	Dairy farm 	pre.season
SRR14608462	Dairy farm 	pre.season
SRR14608463	Dairy farm 	pre.season
SRR14608464	Mixed farm 	pre.season
SRR14608465	Mixed farm 	during.season
SRR14608466	Mixed farm 	during.season
SRR14608467	Mixed farm 	during.season
SRR14608468	Mixed farm 	during.season
SRR14608469	Mixed farm 	during.season
SRR14608470	Mixed farm 	during.season
SRR14608471	Mixed farm 	during.season
SRR14608472	Mixed farm 	during.season
SRR14608473	Mixed farm 	during.season
SRR14608474	Mixed farm 	during.season
SRR14608475	Mixed farm 	pre.season
SRR14608476	Mixed farm 	during.season
SRR14608477	Mixed farm 	during.season
SRR14608478	Mixed farm 	during.season
SRR14608479	Mixed farm 	during.season
SRR14608480	Mixed farm 	during.season
SRR14608481	Mixed farm 	during.season
SRR14608482	Mixed farm 	during.season
SRR14608483	Mixed farm 	during.season
SRR14608484	Mixed farm 	during.season
SRR14608485	Mixed farm 	during.season
SRR14608486	Mixed farm 	pre.season
SRR14608487	Mixed farm 	pre.season
SRR14608488	Mixed farm 	pre.season
SRR14608489	Mixed farm 	pre.season
SRR14608490	Mixed farm 	pre.season
SRR14608491	Mixed farm 	pre.season
SRR14608492	Mixed farm 	pre.season
SRR14608493	Mixed farm 	pre.season
SRR14608494	Mixed farm 	pre.season
SRR14608495	Mixed farm 	pre.season
SRR14608496	Mixed farm 	pre.season
SRR14608497	Mixed farm 	pre.season
SRR14608498	Mixed farm 	pre.season
